Tone,Date,Newspaper
0.053811659,"November 11, 2016",CD
-0.016546019,"November 10, 2017",CD
0.056689342,"November 10, 2017",CD
-0.001273885,"November 10, 2016",CD
0.046511628,"November 10, 2016",CD
0.048484848,"November 10, 2016",CD
0,"November 10, 2016",CD
-0.003058104,"November 10, 2014",CD
-0.003236246,"November 10, 2014",CD
0.044871795,"November 1, 2019",CD
-0.021702838,"November 1, 2018",CD
-0.02435724,"November 1, 2015",CD
0.046908316,"November 1, 2013",CD
-0.004310345,"May 9, 2019",CD
0.009727626,"May 9, 2019",CD
-0.016309888,"May 9, 2019",CD
0.034050179,"May 9, 2018",CD
0.009487666,"May 9, 2015",CD
-0.019157088,"May 8, 2019",CD
-0.028515241,"May 8, 2019",CD
-0.022130014,"May 7, 2019",CD
-0.029360967,"May 7, 2018",CD
0.015267176,"May 7, 2018",CD
0.008912656,"May 6, 2019",CD
0.032258065,"May 6, 2015",CD
0.01305483,"May 6, 2015",CD
-0.013808976,"May 5, 2018",CD
0.009943182,"May 5, 2016",CD
0.004950495,"May 5, 2016",CD
-0.01035503,"May 4, 2019",CD
-0.001633987,"May 4, 2018",CD
0.01512605,"May 4, 2017",CD
-0.034170854,"May 4, 2016",CD
0.012465374,"May 4, 2016",CD
-0.010383387,"May 31, 2019",CD
0.00250941,"May 31, 2019",CD
0.027707809,"May 31, 2019",CD
0.021959459,"May 31, 2019",CD
-0.056603774,"May 31, 2019",CD
-0.003842459,"May 31, 2019",CD
0.014084507,"May 31, 2019",CD
-0.001156069,"May 31, 2019",CD
-0.048453608,"May 31, 2018",CD
0.006802721,"May 31, 2018",CD
0.003257329,"May 31, 2016",CD
0.018867925,"May 31, 2015",CD
-0.014075067,"May 30, 2019",CD
-0.010204082,"May 30, 2019",CD
0.027707809,"May 30, 2019",CD
-0.003831418,"May 30, 2019",CD
-0.019672131,"May 30, 2019",CD
0.001243781,"May 30, 2019",CD
-0.001156069,"May 30, 2019",CD
0.01457976,"May 30, 2019",CD
-0.0078125,"May 30, 2019",CD
